Date,Adj Close,Close,High,Low,Open,Volume
11-08-2022,17.91905022,17.94199944,18.70700073,17.87599945,18.13100052,509327000
12-08-2022,18.68506813,18.70899963,18.71800041,17.95299911,18.15999985,478094000
15-08-2022,19.00765419,19.03199959,19.16399956,18.61300087,18.70100021,457666000
16-08-2022,18.85485077,18.87899971,19.1420002,18.50099945,18.92000008,451240000
17-08-2022,18.31154442,18.33499908,18.68799973,18.14500046,18.52300072,446799000
18-08-2022,18.74899101,18.77300072,18.86499977,18.18300056,18.3010006,415447000
19-08-2022,17.82616615,17.84900093,18.52000046,17.77000046,18.40600014,441588000
22-08-2022,17.01221085,17.0340004,17.55800056,16.9659996,17.48999977,409593000
23-08-2022,17.15902138,17.18099976,17.46500015,16.96999931,16.98900032,369986000
24-08-2022,17.19997025,17.22200012,17.40600014,16.89500046,17.01199913,522661000
25-08-2022,17.89008522,17.91300011,17.9470005,16.83300018,16.84399986,770691000
26-08-2022,16.23919868,16.26000023,17.92399979,16.23699951,17.85700035,769127000
29-08-2022,15.78078747,15.80099964,16.33799934,15.7670002,16.02000046,496132000
30-08-2022,15.44821548,15.46800041,16.03899956,15.18200016,15.96000004,530181000
31-08-2022,15.07469082,15.09399986,15.53999996,14.95899963,15.38399982,573710000
01-09-2022,13.91917229,13.93700027,14.38000011,13.27000046,14.20899963,1178865000
02-09-2022,13.62954235,13.64700031,14.17099953,13.5909996,14.10000038,743157000
06-09-2022,13.44777489,13.46500015,13.77900028,13.35099983,13.73099995,535751000
07-09-2022,13.70052719,13.71399975,13.8380003,13.34599972,13.56299973,512657000
08-09-2022,13.97625542,13.98999977,14.00800037,13.36900043,13.45899963,624873000
09-09-2022,14.37286472,14.38700008,14.47399998,14.1260004,14.15699959,486612000
12-09-2022,14.49074936,14.50500011,14.54699993,14.19799995,14.36900043,484159000
13-09-2022,13.11810017,13.13099957,13.92199993,13.09899998,13.80200005,714956000
14-09-2022,13.11510277,13.12800026,13.28999996,12.91300011,13.25399971,588507000
15-09-2022,12.91629887,12.9289999,13.2329998,12.78999996,13.01500034,523625000
16-09-2022,13.18503475,13.19799995,13.21199989,12.61699963,12.74199963,670751000
19-09-2022,13.36885357,13.38199997,13.4630003,13.01000023,13.01200008,569685000
20-09-2022,13.16305637,13.17599964,13.4829998,13.05700016,13.21500015,524818000
21-09-2022,13.24797249,13.26099968,14.03100014,13.10999966,13.2130003,807679000
22-09-2022,12.54865837,12.56099987,13.14900017,12.42800045,13.06999969,759162000
23-09-2022,12.50370312,12.51599979,12.61100006,12.25699997,12.42000008,663309000
26-09-2022,12.21598721,12.22799969,12.6590004,12.21399975,12.49100018,547343000
27-09-2022,12.40080547,12.41300011,12.73600006,12.25800037,12.50699997,553854000
28-09-2022,12.72348785,12.73600006,12.82299995,12.35400009,12.40999985,542414000
29-09-2022,12.20799541,12.22000027,12.5,11.9460001,12.44799995,532763000
30-09-2022,12.12707424,12.13899994,12.63300037,12.07499981,12.08699989,565638000
03-10-2022,12.49970818,12.51200008,12.67800045,12.10499954,12.34700012,547478000
04-10-2022,13.15406322,13.16699982,13.22000027,12.87899971,12.87899971,584182000
05-10-2022,13.19602394,13.20899963,13.3210001,12.62100029,12.91100025,507131000
06-10-2022,13.11710072,13.13000011,13.65600014,13.10299969,13.22000027,644157000
07-10-2022,12.06413651,12.07600021,12.67000008,12.02200031,12.50500011,672478000
10-10-2022,11.658535,11.67000008,12.1239996,11.40799999,12.0369997,698699000
11-10-2022,11.57461834,11.58600044,11.84599972,11.28299999,11.56099987,667482000
12-10-2022,11.48870277,11.5,11.73499966,11.34500027,11.57900047,492590000
13-10-2022,11.94825077,11.96000004,12.07800007,10.81299973,10.97099972,850103000
14-10-2022,11.21597099,11.22700024,12.11100006,11.20400047,12.05700016,713432000
17-10-2022,11.87631989,11.88799953,11.94799995,11.5170002,11.51799965,580774000
18-10-2022,11.95524311,11.96700001,12.49199963,11.61800003,12.34399986,659362000
19-10-2022,12.03915977,12.05099964,12.35000038,11.83399963,11.87899971,523131000
20-10-2022,12.18202209,12.19400024,12.76900005,12.10499954,12.11299992,652398000
21-10-2022,12.45375252,12.4659996,12.49800014,11.88700008,12.09799957,609494000
24-10-2022,12.58662319,12.59899998,12.71000004,12.06400013,12.50800037,517457000
25-10-2022,13.24797249,13.26099968,13.30000019,12.66399956,12.69400024,505482000
26-10-2022,12.8833313,12.89599991,13.38799953,12.70800018,12.86900043,532953000
27-10-2022,13.16305637,13.17599964,13.8380003,13.12199974,13.63000011,583113000
28-10-2022,13.82040882,13.83399963,13.85000038,13.06099987,13.10400009,521040000
31-10-2022,13.48374176,13.49699974,13.8380003,13.29699993,13.77799988,486341000
01-11-2022,13.52969456,13.54300022,13.92500019,13.51900005,13.81099987,432817000
02-11-2022,13.20601368,13.21899986,14.21000004,13.21100044,13.85000038,672628000
03-11-2022,13.40781403,13.42099953,13.78100014,12.95600033,13.04300022,500065000
04-11-2022,14.14209175,14.15600014,14.22900009,13.69699955,13.98600006,612576000
07-11-2022,14.28695107,14.30099964,14.4119997,13.95400047,14.22799969,410061000
08-11-2022,14.58765507,14.60200024,14.89099979,14.2159996,14.80099964,595292000
09-11-2022,13.76246643,13.77600002,14.21100044,13.75899982,14.1619997,454414000
10-11-2022,15.73452663,15.75,15.77299976,14.54699993,14.80000019,700819000
11-11-2022,16.31096077,16.32699966,16.38899994,15.48200035,15.80700016,655487000
14-11-2022,16.27899361,16.29500008,16.54000092,15.92199993,16.21800041,527852000
15-11-2022,16.64962578,16.66600037,16.99799919,16.38199997,16.72200012,545876000
16-11-2022,15.89437008,15.90999985,16.36199951,15.87300014,16.16200066,649547000
17-11-2022,15.66159821,15.67700005,16.26600075,15.53499985,15.71500015,710894000
18-11-2022,15.39386272,15.4090004,16.00200081,15.11999989,15.9659996,492072000
21-11-2022,15.30195236,15.31700039,15.47700024,15.07999992,15.14700031,404739000
22-11-2022,16.02224541,16.03800011,16.05800056,15.12199974,15.32800007,472866000
23-11-2022,16.50277138,16.5189991,16.52700043,16.04800034,16.09799957,427241000
25-11-2022,16.25401688,16.27000046,16.48699951,16.17200089,16.31800079,167934000
28-11-2022,15.81145,15.82699966,16.35700035,15.72500038,16.02599907,303741000
29-11-2022,15.62363434,15.63899994,15.93200016,15.52000046,15.82699966,298384000
30-11-2022,16.91069794,16.92300034,16.93000031,15.59700012,15.69699955,565298000
01-12-2022,17.12254333,17.13500023,17.26499939,16.63500023,16.99900055,470977000
02-12-2022,16.86373329,16.87599945,16.93300056,16.44499969,16.6590004,371389000
05-12-2022,16.59792709,16.61000061,16.99500084,16.47200012,16.67900085,352255000
06-12-2022,15.97537994,15.98700047,16.57299995,15.81900024,16.53000069,352694000
07-12-2022,16.108284,16.12000084,16.18600082,15.66699982,15.77200031,372388000
08-12-2022,17.15652084,17.16900063,17.17900085,15.95899963,16.27300072,515456000
09-12-2022,16.98863983,17.00099945,17.58300018,16.97500038,17.15999985,465338000
12-12-2022,17.52225494,17.53499985,17.53800011,16.79700089,17.03700066,457328000
13-12-2022,18.0588665,18.0720005,18.79000092,17.71100044,18.53100014,656589000
14-12-2022,17.66115379,17.67399979,18.25200081,17.42000008,17.98699951,496888000
15-12-2022,16.93967819,16.95199966,17.31999969,16.70000076,17.14599991,478542000
16-12-2022,16.55895615,16.57099915,17.04100037,16.40999985,16.86400032,478232000
19-12-2022,16.24218369,16.25399971,16.60899925,16.14500046,16.5720005,354039000
20-12-2022,16.07331085,16.08499908,16.30999947,15.85200024,16.06399918,403260000
21-12-2022,16.48900604,16.50099945,16.62700081,16.10199928,16.11400032,325025000
22-12-2022,15.32785034,15.33899975,16.13800049,14.88199997,16.09399986,565045000
23-12-2022,15.19494724,15.20600033,15.33899975,14.88300037,15.1960001,349326000
27-12-2022,14.11073685,14.12100029,15.10000038,14.05599976,15.07400036,464902000
28-12-2022,14.02579784,14.03600025,14.26200008,13.88399982,13.92700005,351066000
29-12-2022,14.59238625,14.60299969,14.68299961,14.22700024,14.40200043,354923000
30-12-2022,14.6033802,14.61400032,14.62899971,14.2329998,14.33399963,310490000
03-01-2023,14.30459404,14.31499958,14.99600029,14.09599972,14.85099983,401277000
04-01-2023,14.7382803,14.7489996,14.85299969,14.24100018,14.56700039,431324000
05-01-2023,14.25463295,14.26500034,14.56400013,14.14799976,14.49100018,389168000
06-01-2023,14.84819984,14.85900021,15.01000023,14.0340004,14.47399998,405044000
09-01-2023,15.616642,15.62800026,16.05599976,15.14099979,15.2840004,504231000
10-01-2023,15.89743805,15.9090004,15.96199989,15.47200012,15.50699997,384101000
11-01-2023,15.98936939,16.00099945,16.02799988,15.56299973,15.84000015,353285000
12-01-2023,16.49899864,16.51099968,16.63699913,15.49199963,16.10000038,551409000
13-01-2023,16.88671684,16.89900017,16.92200089,16.16500092,16.27799988,447287000
17-01-2023,17.68913269,17.70199966,17.72800064,16.89900017,16.89900017,511102000
18-01-2023,17.36437225,17.37700081,17.87299919,17.28199959,17.66699982,439624000
19-01-2023,16.75281143,16.76499939,17.1970005,16.7310009,17.0359993,452932000
20-01-2023,17.82603645,17.8390007,17.8560009,16.82500076,17.01099968,564967000
